,attr,nan_before,nan_actual,valid_entries,perc_valid,type,information_level,val_cnt,del_reason,del_col,actual_nan_rows
0,AGER_TYP,0,685843,205378,23.044564703928653,categorical,person,3,More Nan than 1st,1.0,
1,ALTERSKATEGORIE_GROB,0,2881,888340,99.67673562449718,ordinal,person,4,,0.0,0.0
2,ANREDE_KZ,0,0,891221,100.0,categorical,person,2,,0.0,0.0
3,CJT_GESAMTTYP,4854,4854,886367,99.4553539470008,categorical,person,6,,0.0,0.0
4,FINANZ_MINIMALIST,0,0,891221,100.0,ordinal,person,5,,0.0,0.0
5,FINANZ_SPARER,0,0,891221,100.0,ordinal,person,5,,0.0,0.0
6,FINANZ_VORSORGER,0,0,891221,100.0,ordinal,person,5,,0.0,0.0
7,FINANZ_ANLEGER,0,0,891221,100.0,ordinal,person,5,,0.0,0.0
8,FINANZ_UNAUFFAELLIGER,0,0,891221,100.0,ordinal,person,5,,0.0,0.0
9,FINANZ_HAUSBAUER,0,0,891221,100.0,ordinal,person,5,,0.0,0.0
10,FINANZTYP,0,0,891221,100.0,categorical,person,6,,0.0,0.0
11,GEBURTSJAHR,0,392318,498903,55.97971771311493,numeric,person,116,More Nan than 1st,1.0,
12,GFK_URLAUBERTYP,4854,4854,886367,99.4553539470008,categorical,person,12,,0.0,0.0
13,GREEN_AVANTGARDE,0,0,891221,100.0,categorical,person,2,,0.0,0.0
14,HEALTH_TYP,0,111196,780025,87.52318448510526,ordinal,person,3,,0.0,0.0
15,LP_LEBENSPHASE_FEIN,4854,4854,886367,99.4553539470008,mixed,person,41,,0.0,0.0
16,LP_LEBENSPHASE_GROB,4854,4854,886367,99.4553539470008,mixed,person,13,,0.0,0.0
17,LP_FAMILIE_FEIN,4854,4854,886367,99.4553539470008,categorical,person,12,,0.0,0.0
18,LP_FAMILIE_GROB,4854,4854,886367,99.4553539470008,categorical,person,6,,0.0,0.0
19,LP_STATUS_FEIN,4854,4854,886367,99.4553539470008,categorical,person,10,,0.0,0.0
20,LP_STATUS_GROB,4854,4854,886367,99.4553539470008,categorical,person,5,,0.0,0.0
21,NATIONALITAET_KZ,0,108315,782906,87.84644886060809,categorical,person,3,More Nan than 2nd,1.0,
22,PRAEGENDE_JUGENDJAHRE,0,108164,783057,87.86339190840431,mixed,person,15,,0.0,6663.0
23,RETOURTYP_BK_S,4854,4854,886367,99.4553539470008,ordinal,person,5,,0.0,0.0
24,SEMIO_SOZ,0,0,891221,100.0,ordinal,person,7,,0.0,0.0
25,SEMIO_FAM,0,0,891221,100.0,ordinal,person,7,,0.0,0.0
26,SEMIO_REL,0,0,891221,100.0,ordinal,person,7,,0.0,0.0
27,SEMIO_MAT,0,0,891221,100.0,ordinal,person,7,,0.0,0.0
28,SEMIO_VERT,0,0,891221,100.0,ordinal,person,7,,0.0,0.0
29,SEMIO_LUST,0,0,891221,100.0,ordinal,person,7,,0.0,0.0
30,SEMIO_ERL,0,0,891221,100.0,ordinal,person,7,,0.0,0.0
31,SEMIO_KULT,0,0,891221,100.0,ordinal,person,7,,0.0,0.0
32,SEMIO_RAT,0,0,891221,100.0,ordinal,person,7,,0.0,0.0
33,SEMIO_KRIT,0,0,891221,100.0,ordinal,person,7,,0.0,0.0
34,SEMIO_DOM,0,0,891221,100.0,ordinal,person,7,,0.0,0.0
35,SEMIO_KAEM,0,0,891221,100.0,ordinal,person,7,,0.0,0.0
36,SEMIO_PFLICHT,0,0,891221,100.0,ordinal,person,7,,0.0,0.0
37,SEMIO_TRADV,0,0,891221,100.0,ordinal,person,7,,0.0,0.0
38,SHOPPER_TYP,0,111196,780025,87.52318448510526,categorical,person,4,,0.0,0.0
39,SOHO_KZ,73499,73499,817722,91.7529995365908,categorical,person,2,More Nan than 2nd,1.0,
40,TITEL_KZ,73499,73499,817722,91.7529995365908,categorical,person,6,More Nan than 2nd,1.0,
41,VERS_TYP,0,111196,780025,87.52318448510526,categorical,person,2,,0.0,0.0
42,ZABEOTYP,0,0,891221,100.0,categorical,person,6,,0.0,0.0
43,ALTER_HH,73499,73499,817722,91.7529995365908,interval,household,22,More Nan than 2nd,1.0,
44,ANZ_PERSONEN,73499,73499,817722,91.7529995365908,numeric,household,30,,0.0,0.0
45,ANZ_TITEL,73499,73499,817722,91.7529995365908,numeric,household,6,More Nan than 2nd,1.0,
46,HH_EINKOMMEN_SCORE,18348,18348,872873,97.94125138433677,ordinal,household,6,,0.0,0.0
47,KK_KUNDENTYP,584612,584612,306609,34.40325126988704,categorical,household,6,More Nan than 1st,1.0,
48,W_KEIT_KIND_HH,107602,107602,783619,87.92645146377835,ordinal,household,7,,0.0,28746.0
49,WOHNDAUER_2008,73499,73499,817722,91.7529995365908,ordinal,household,9,,0.0,0.0
50,ANZ_HAUSHALTE_AKTIV,93148,93148,798073,89.54827141640513,numeric,building,292,,0.0,0.0
51,ANZ_HH_TITEL,97008,97008,794213,89.1151577442632,numeric,building,21,More Nan than 2nd,1.0,
52,GEBAEUDETYP,93148,93148,798073,89.54827141640513,categorical,building,7,,0.0,0.0
53,KONSUMNAEHE,73969,73969,817252,91.70026289775488,ordinal,building,7,,0.0,34.0
54,MIN_GEBAEUDEJAHR,93148,93148,798073,89.54827141640513,numeric,building,32,More Nan than 2nd,1.0,
55,OST_WEST_KZ,93148,93148,798073,89.54827141640513,categorical,building,2,,0.0,0.0
56,WOHNLAGE,93148,93148,798073,89.54827141640513,mixed,building,8,,0.0,0.0
57,CAMEO_DEUG_2015,98979,99352,791869,88.8521477837708,categorical,microcell_rr4,9,,0.0,0.0
58,CAMEO_DEU_2015,98979,99352,791869,88.8521477837708,categorical,microcell_rr4,44,More Nan than 1st,1.0,
59,CAMEO_INTL_2015,98979,99352,791869,88.8521477837708,mixed,microcell_rr4,21,,0.0,0.0
60,KBA05_ANTG1,133324,133324,757897,85.04029864646367,ordinal,microcell_rr3,5,,0.0,0.0
61,KBA05_ANTG2,133324,133324,757897,85.04029864646367,ordinal,microcell_rr3,5,,0.0,0.0
62,KBA05_ANTG3,133324,133324,757897,85.04029864646367,ordinal,microcell_rr3,4,More Nan than 2nd,1.0,
63,KBA05_ANTG4,133324,133324,757897,85.04029864646367,ordinal,microcell_rr3,3,More Nan than 2nd,1.0,
64,KBA05_BAUMAX,133324,133324,757897,85.04029864646367,mixed,microcell_rr3,6,,0.0,0.0
65,KBA05_GBZ,133324,133324,757897,85.04029864646367,ordinal,microcell_rr3,5,,0.0,0.0
66,BALLRAUM,93740,93740,797481,89.48184569259476,ordinal,postcode,7,,0.0,0.0
67,EWDICHTE,93740,93740,797481,89.48184569259476,ordinal,postcode,6,,0.0,0.0
68,INNENSTADT,93740,93740,797481,89.48184569259476,ordinal,postcode,8,,0.0,0.0
69,GEBAEUDETYP_RASTER,93155,93155,798066,89.54748597710332,ordinal,region_rr1,5,,0.0,0.0
70,KKK,121196,121196,770025,86.40112833965986,ordinal,region_rr1,5,,0.0,0.0
71,MOBI_REGIO,133324,133324,757897,85.04029864646367,ordinal,region_rr1,6,,0.0,0.0
72,ONLINE_AFFINITAET,4854,4854,886367,99.4553539470008,ordinal,region_rr1,6,,0.0,0.0
73,REGIOTYP,121196,121196,770025,86.40112833965986,ordinal,region_rr1,8,,0.0,0.0
74,KBA13_ANZAHL_PKW,105800,105800,785421,88.1286459811876,numeric,macrocell_plz8,1261,More Nan than 1st,1.0,
75,PLZ8_ANTG1,116515,116515,774706,86.92636282134285,ordinal,macrocell_plz8,5,,0.0,0.0
76,PLZ8_ANTG2,116515,116515,774706,86.92636282134285,ordinal,macrocell_plz8,5,,0.0,0.0
77,PLZ8_ANTG3,116515,116515,774706,86.92636282134285,ordinal,macrocell_plz8,4,,0.0,0.0
78,PLZ8_ANTG4,116515,116515,774706,86.92636282134285,ordinal,macrocell_plz8,3,,0.0,0.0
79,PLZ8_BAUMAX,116515,116515,774706,86.92636282134285,mixed,macrocell_plz8,5,More Nan than 2nd,1.0,
80,PLZ8_HHZ,116515,116515,774706,86.92636282134285,ordinal,macrocell_plz8,5,,0.0,0.0
81,PLZ8_GBZ,116515,116515,774706,86.92636282134285,ordinal,macrocell_plz8,5,,0.0,0.0
82,ARBEIT,97216,97216,794005,89.09181897643795,ordinal,community,6,,0.0,0.0
83,ORTSGR_KLS9,97216,97216,794005,89.09181897643795,ordinal,community,10,,0.0,0.0
84,RELAT_AB,97216,97216,794005,89.09181897643795,ordinal,community,6,,0.0,0.0
